
hf (pretrained=/home/zhangping/zrc/llama-3.2-1b,dtype=float,trust_remote_code=True,trust_remote_code=True), gen_kwargs: (None), limit: None, num_fewshot: 0, batch_size: auto:4 (32,64,64,64,64)
|         Tasks         |Version|Filter|n-shot|  Metric  |   | Value  |   |Stderr|
|-----------------------|-------|------|-----:|----------|---|-------:|---|-----:|
|lambada_multilingual   |N/A    |none  |     0|acc       |↑  |  0.3904|±  |0.0029|
|                       |       |none  |     0|perplexity|↓  | 80.8751|±  |2.4867|
| - lambada_openai_mt_de|      1|none  |     0|acc       |↑  |  0.3287|±  |0.0065|
|                       |       |none  |     0|perplexity|↓  | 87.5065|±  |5.2831|
| - lambada_openai_mt_en|      1|none  |     0|acc       |↑  |  0.6297|±  |0.0067|
|                       |       |none  |     0|perplexity|↓  |  5.7268|±  |0.1391|
| - lambada_openai_mt_es|      1|none  |     0|acc       |↑  |  0.2300|±  |0.0059|
|                       |       |none  |     0|perplexity|↓  |162.3192|±  |9.2849|
| - lambada_openai_mt_fr|      1|none  |     0|acc       |↑  |  0.3939|±  |0.0068|
|                       |       |none  |     0|perplexity|↓  | 62.9702|±  |3.6146|
| - lambada_openai_mt_it|      1|none  |     0|acc       |↑  |  0.3697|±  |0.0067|
|                       |       |none  |     0|perplexity|↓  | 85.8530|±  |5.2329|
| - paws_de             |      0|none  |     0|acc       |↑  |  0.4630|±  |0.0112|
| - paws_en             |      0|none  |     0|acc       |↑  |  0.4075|±  |0.0110|
| - paws_es             |      0|none  |     0|acc       |↑  |  0.4290|±  |0.0111|
| - paws_fr             |      0|none  |     0|acc       |↑  |  0.4885|±  |0.0112|
| - paws_ja             |      0|none  |     0|acc       |↑  |  0.4925|±  |0.0112|
| - paws_ko             |      0|none  |     0|acc       |↑  |  0.4735|±  |0.0112|
| - paws_zh             |      0|none  |     0|acc       |↑  |  0.5130|±  |0.0112|
|pawsx                  |N/A    |none  |     0|acc       |↑  |  0.4667|±  |0.0042|
|xcopa                  |N/A    |none  |     0|acc       |↑  |  0.5529|±  |0.0067|
| - xcopa_et            |      1|none  |     0|acc       |↑  |  0.4960|±  |0.0224|
| - xcopa_ht            |      1|none  |     0|acc       |↑  |  0.5140|±  |0.0224|
| - xcopa_id            |      1|none  |     0|acc       |↑  |  0.5820|±  |0.0221|
| - xcopa_it            |      1|none  |     0|acc       |↑  |  0.5820|±  |0.0221|
| - xcopa_qu            |      1|none  |     0|acc       |↑  |  0.5020|±  |0.0224|
| - xcopa_sw            |      1|none  |     0|acc       |↑  |  0.5240|±  |0.0224|
| - xcopa_ta            |      1|none  |     0|acc       |↑  |  0.5540|±  |0.0223|
| - xcopa_th            |      1|none  |     0|acc       |↑  |  0.5540|±  |0.0223|
| - xcopa_tr            |      1|none  |     0|acc       |↑  |  0.5560|±  |0.0222|
| - xcopa_vi            |      1|none  |     0|acc       |↑  |  0.6300|±  |0.0216|
| - xcopa_zh            |      1|none  |     0|acc       |↑  |  0.5880|±  |0.0220|
|xnli                   |N/A    |none  |     0|acc       |↑  |  0.4060|±  |0.0024|
| - xnli_ar             |      1|none  |     0|acc       |↑  |  0.3317|±  |0.0094|
| - xnli_bg             |      1|none  |     0|acc       |↑  |  0.4024|±  |0.0098|
| - xnli_de             |      1|none  |     0|acc       |↑  |  0.4635|±  |0.0100|
| - xnli_el             |      1|none  |     0|acc       |↑  |  0.3739|±  |0.0097|
| - xnli_en             |      1|none  |     0|acc       |↑  |  0.5470|±  |0.0100|
| - xnli_es             |      1|none  |     0|acc       |↑  |  0.4088|±  |0.0099|
| - xnli_eu             |      1|none  |     0|acc       |↑  |  0.3651|±  |0.0068|
| - xnli_fr             |      1|none  |     0|acc       |↑  |  0.4703|±  |0.0100|
