bootstrapping for stddev: perplexity
bootstrapping for stddev: f1_score
bootstrapping for stddev: matthews_corrcoef
bootstrapping for stddev: f1_score
hf (pretrained=state-spaces/mamba-1.4b-hf,dtype=float,trust_remote_code=True,trust_remote_code=True), gen_kwargs: (None), limit: None, num_fewshot: 0, batch_size: 4
|     Tasks      |Version|Filter|n-shot|  Metric  |   | Value |   |Stderr|
|----------------|-------|------|-----:|----------|---|------:|---|-----:|
|arc_challenge   |      1|none  |     0|acc       |↑  | 0.2978|±  |0.0134|
|                |       |none  |     0|acc_norm  |↑  | 0.3294|±  |0.0137|
|arc_easy        |      1|none  |     0|acc       |↑  | 0.6553|±  |0.0098|
|                |       |none  |     0|acc_norm  |↑  | 0.6120|±  |0.0100|
| - cola         |      1|none  |     0|mcc       |↑  |-0.1013|±  |0.0305|
|glue            |N/A    |none  |     0|acc       |↑  | 0.3976|±  |0.0019|
|                |       |none  |     0|f1        |↑  | 0.4167|±  |0.0030|
|                |       |none  |     0|mcc       |↑  |-0.1013|±  |0.0305|
|hellaswag       |      1|none  |     0|acc       |↑  | 0.4505|±  |0.0050|
|                |       |none  |     0|acc_norm  |↑  | 0.5911|±  |0.0049|
|lambada_openai  |      1|none  |     0|acc       |↑  | 0.6495|±  |0.0066|
|                |       |none  |     0|perplexity|↓  | 5.0425|±  |0.1206|
| - mnli         |      1|none  |     0|acc       |↑  | 0.3523|±  |0.0048|
| - mnli_mismatch|      1|none  |     0|acc       |↑  | 0.3512|±  |0.0048|
| - mrpc         |      1|none  |     0|acc       |↑  | 0.5343|±  |0.0247|
|                |       |none  |     0|f1        |↑  | 0.6631|±  |0.0231|
|piqa            |      1|none  |     0|acc       |↑  | 0.7416|±  |0.0102|
|                |       |none  |     0|acc_norm  |↑  | 0.7388|±  |0.0102|
| - qnli         |      1|none  |     0|acc       |↑  | 0.5259|±  |0.0068|
| - qqp          |      2|none  |     0|acc       |↑  | 0.3981|±  |0.0024|
|                |       |none  |     0|f1        |↑  | 0.4143|±  |0.0031|
| - rte          |      1|none  |     0|acc       |↑  | 0.4801|±  |0.0301|
|sciq            |      1|none  |     0|acc       |↑  | 0.8730|±  |0.0105|
|                |       |none  |     0|acc_norm  |↑  | 0.8300|±  |0.0119|
| - sst2         |      1|none  |     0|acc       |↑  | 0.4989|±  |0.0169|
|winogrande      |      1|none  |     0|acc       |↑  | 0.6140|±  |0.0137|
| - wnli         |      2|none  |     0|acc       |↑  | 0.5493|±  |0.0595|

|Groups|Version|Filter|n-shot|Metric|   | Value |   |Stderr|
|------|-------|------|-----:|------|---|------:|---|-----:|
|glue  |N/A    |none  |     0|acc   |↑  | 0.3976|±  |0.0019|
|      |       |none  |     0|f1    |↑  | 0.4167|±  |0.0030|
|      |       |none  |     0|mcc   |↑  |-0.1013|±  |0.0305|
