bootstrapping for stddev: perplexity
bootstrapping for stddev: f1_score
bootstrapping for stddev: matthews_corrcoef
bootstrapping for stddev: f1_score
hf (pretrained=state-spaces/mamba-130m-hf,dtype=float,trust_remote_code=True,trust_remote_code=True), gen_kwargs: (None), limit: None, num_fewshot: 0, batch_size: 4
|     Tasks      |Version|Filter|n-shot|  Metric  |   | Value |   |Stderr|
|----------------|-------|------|-----:|----------|---|------:|---|-----:|
|arc_challenge   |      1|none  |     0|acc       |↑  | 0.1971|±  |0.0116|
|                |       |none  |     0|acc_norm  |↑  | 0.2423|±  |0.0125|
|arc_easy        |      1|none  |     0|acc       |↑  | 0.4798|±  |0.0103|
|                |       |none  |     0|acc_norm  |↑  | 0.4192|±  |0.0101|
| - cola         |      1|none  |     0|mcc       |↑  | 0.0000|±  |0.0000|
|glue            |N/A    |none  |     0|acc       |↑  | 0.3789|±  |0.0019|
|                |       |none  |     0|f1        |↑  | 0.5408|±  |0.0025|
|                |       |none  |     0|mcc       |↑  | 0.0000|±  |0.0000|
|hellaswag       |      1|none  |     0|acc       |↑  | 0.3080|±  |0.0046|
|                |       |none  |     0|acc_norm  |↑  | 0.3525|±  |0.0048|
|lambada_openai  |      1|none  |     0|acc       |↑  | 0.4425|±  |0.0069|
|                |       |none  |     0|perplexity|↓  |16.0659|±  |0.5098|
| - mnli         |      1|none  |     0|acc       |↑  | 0.3461|±  |0.0048|
| - mnli_mismatch|      1|none  |     0|acc       |↑  | 0.3492|±  |0.0048|
| - mrpc         |      1|none  |     0|acc       |↑  | 0.6838|±  |0.0230|
|                |       |none  |     0|f1        |↑  | 0.8122|±  |0.0163|
|piqa            |      1|none  |     0|acc       |↑  | 0.6447|±  |0.0112|
|                |       |none  |     0|acc_norm  |↑  | 0.6322|±  |0.0113|
| - qnli         |      1|none  |     0|acc       |↑  | 0.4942|±  |0.0068|
| - qqp          |      2|none  |     0|acc       |↑  | 0.3682|±  |0.0024|
|                |       |none  |     0|f1        |↑  | 0.5381|±  |0.0026|
| - rte          |      1|none  |     0|acc       |↑  | 0.5487|±  |0.0300|
|sciq            |      1|none  |     0|acc       |↑  | 0.7820|±  |0.0131|
|                |       |none  |     0|acc_norm  |↑  | 0.6750|±  |0.0148|
| - sst2         |      1|none  |     0|acc       |↑  | 0.6560|±  |0.0161|
|winogrande      |      1|none  |     0|acc       |↑  | 0.5209|±  |0.0140|
| - wnli         |      2|none  |     0|acc       |↑  | 0.4366|±  |0.0593|

|Groups|Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------|-------|------|-----:|------|---|-----:|---|-----:|
|glue  |N/A    |none  |     0|acc   |↑  |0.3789|±  |0.0019|
|      |       |none  |     0|f1    |↑  |0.5408|±  |0.0025|
|      |       |none  |     0|mcc   |↑  |0.0000|±  |0.0000|
