bootstrapping for stddev: perplexity
bootstrapping for stddev: f1_score
bootstrapping for stddev: matthews_corrcoef
bootstrapping for stddev: f1_score
hf (pretrained=state-spaces/mamba-370m-hf,dtype=float,trust_remote_code=True,trust_remote_code=True), gen_kwargs: (None), limit: None, num_fewshot: 0, batch_size: 4
|     Tasks      |Version|Filter|n-shot|  Metric  |   |Value |   |Stderr|
|----------------|-------|------|-----:|----------|---|-----:|---|-----:|
|arc_challenge   |      1|none  |     0|acc       |↑  |0.2500|±  |0.0127|
|                |       |none  |     0|acc_norm  |↑  |0.2790|±  |0.0131|
|arc_easy        |      1|none  |     0|acc       |↑  |0.5497|±  |0.0102|
|                |       |none  |     0|acc_norm  |↑  |0.4819|±  |0.0103|
| - cola         |      1|none  |     0|mcc       |↑  |0.0000|±  |0.0000|
|glue            |N/A    |none  |     0|acc       |↑  |0.3849|±  |0.0019|
|                |       |none  |     0|f1        |↑  |0.5407|±  |0.0026|
|                |       |none  |     0|mcc       |↑  |0.0000|±  |0.0000|
|hellaswag       |      1|none  |     0|acc       |↑  |0.3721|±  |0.0048|
|                |       |none  |     0|acc_norm  |↑  |0.4648|±  |0.0050|
|lambada_openai  |      1|none  |     0|acc       |↑  |0.5562|±  |0.0069|
|                |       |none  |     0|perplexity|↓  |8.1376|±  |0.2232|
| - mnli         |      1|none  |     0|acc       |↑  |0.3547|±  |0.0048|
| - mnli_mismatch|      1|none  |     0|acc       |↑  |0.3599|±  |0.0048|
| - mrpc         |      1|none  |     0|acc       |↑  |0.6471|±  |0.0237|
|                |       |none  |     0|f1        |↑  |0.7812|±  |0.0178|
|piqa            |      1|none  |     0|acc       |↑  |0.6948|±  |0.0107|
|                |       |none  |     0|acc_norm  |↑  |0.6834|±  |0.0109|
| - qnli         |      1|none  |     0|acc       |↑  |0.4948|±  |0.0068|
| - qqp          |      2|none  |     0|acc       |↑  |0.3763|±  |0.0024|
|                |       |none  |     0|f1        |↑  |0.5383|±  |0.0026|
| - rte          |      1|none  |     0|acc       |↑  |0.5307|±  |0.0300|
|sciq            |      1|none  |     0|acc       |↑  |0.8450|±  |0.0115|
|                |       |none  |     0|acc_norm  |↑  |0.7630|±  |0.0135|
| - sst2         |      1|none  |     0|acc       |↑  |0.5390|±  |0.0169|
|winogrande      |      1|none  |     0|acc       |↑  |0.5549|±  |0.0140|
| - wnli         |      2|none  |     0|acc       |↑  |0.4366|±  |0.0593|

|Groups|Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------|-------|------|-----:|------|---|-----:|---|-----:|
|glue  |N/A    |none  |     0|acc   |↑  |0.3849|±  |0.0019|
|      |       |none  |     0|f1    |↑  |0.5407|±  |0.0026|
|      |       |none  |     0|mcc   |↑  |0.0000|±  |0.0000|
