bootstrapping for stddev: perplexity
bootstrapping for stddev: f1_score
bootstrapping for stddev: matthews_corrcoef
bootstrapping for stddev: f1_score
hf (pretrained=EleutherAI/pythia-1.4b,dtype=float,trust_remote_code=True,trust_remote_code=True), gen_kwargs: (None), limit: None, num_fewshot: 0, batch_size: 4
|     Tasks      |Version|Filter|n-shot|  Metric  |   |Value |   |Stderr|
|----------------|-------|------|-----:|----------|---|-----:|---|-----:|
|arc_challenge   |      1|none  |     0|acc       |↑  |0.2611|±  |0.0128|
|                |       |none  |     0|acc_norm  |↑  |0.2858|±  |0.0132|
|arc_easy        |      1|none  |     0|acc       |↑  |0.6052|±  |0.0100|
|                |       |none  |     0|acc_norm  |↑  |0.5387|±  |0.0102|
| - cola         |      1|none  |     0|mcc       |↑  |0.0181|±  |0.0323|
|glue            |N/A    |none  |     0|acc       |↑  |0.3716|±  |0.0019|
|                |       |none  |     0|f1        |↑  |0.5365|±  |0.0026|
|                |       |none  |     0|mcc       |↑  |0.0181|±  |0.0323|
|hellaswag       |      1|none  |     0|acc       |↑  |0.4041|±  |0.0049|
|                |       |none  |     0|acc_norm  |↑  |0.5202|±  |0.0050|
|lambada_openai  |      1|none  |     0|acc       |↑  |0.6167|±  |0.0068|
|                |       |none  |     0|perplexity|↓  |6.0749|±  |0.1545|
| - mnli         |      1|none  |     0|acc       |↑  |0.3268|±  |0.0047|
| - mnli_mismatch|      1|none  |     0|acc       |↑  |0.3237|±  |0.0047|
| - mrpc         |      1|none  |     0|acc       |↑  |0.6667|±  |0.0234|
|                |       |none  |     0|f1        |↑  |0.7970|±  |0.0171|
|piqa            |      1|none  |     0|acc       |↑  |0.7084|±  |0.0106|
|                |       |none  |     0|acc_norm  |↑  |0.7100|±  |0.0106|
| - qnli         |      1|none  |     0|acc       |↑  |0.4908|±  |0.0068|
| - qqp          |      2|none  |     0|acc       |↑  |0.3688|±  |0.0024|
|                |       |none  |     0|f1        |↑  |0.5338|±  |0.0026|
| - rte          |      1|none  |     0|acc       |↑  |0.5090|±  |0.0301|
|sciq            |      1|none  |     0|acc       |↑  |0.8660|±  |0.0108|
|                |       |none  |     0|acc_norm  |↑  |0.7920|±  |0.0128|
| - sst2         |      1|none  |     0|acc       |↑  |0.5986|±  |0.0166|
|winogrande      |      1|none  |     0|acc       |↑  |0.5754|±  |0.0139|
| - wnli         |      2|none  |     0|acc       |↑  |0.5352|±  |0.0596|

|Groups|Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------|-------|------|-----:|------|---|-----:|---|-----:|
|glue  |N/A    |none  |     0|acc   |↑  |0.3716|±  |0.0019|
|      |       |none  |     0|f1    |↑  |0.5365|±  |0.0026|
|      |       |none  |     0|mcc   |↑  |0.0181|±  |0.0323|
